system:index,elevation,point_id,.geo
000000000000000000ef_0,376,239.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.223610568162286,41.48976855467147]}"
00000000000000000269_0,51,617.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.282090893158454,41.47305989038685]}"
00000000000000000327_0,28,807.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0301134559629475,41.39652342817987]}"
00000000000000000331_0,326,817.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1120398098746307,41.43856458347666]}"
0000000000000000026a_0,132,618.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0454746473213845,41.4816837171144]}"
000000000000000001f2_0,131,498.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0945226618343042,41.46551404200025]}"
00000000000000000032_0,66,50.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.162704791898989,41.49461945720572]}"
00000000000000000190_0,125,400.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.028226993866298,41.42374238128869]}"
00000000000000000261_0,113,609.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.048978076929444,41.43479165928336]}"
00000000000000000180_0,25,384.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0411627339576057,41.38789960145232]}"
00000000000000000118_0,112,280.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2909842144712513,41.49623642471714]}"
000000000000000001c7_0,18,455.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0468221202475547,41.37415537760529]}"
00000000000000000108_0,3,264.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.049247571514684,41.301391839591616]}"
000000000000000001c1_0,3,449.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.049247571514684,41.301391839591616]}"
0000000000000000017a_0,25,378.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.242205694543543,41.45203931273846]}"
000000000000000003ac_0,190,940.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0675732033107295,41.45500375317605]}"
000000000000000002b1_0,3,689.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.129826452500197,41.31998696597289]}"
000000000000000002ef_0,12,751.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.053289990293223,41.35340429454213]}"
0000000000000000003b_0,107,59.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.255410929220119,41.4749463524835]}"
000000000000000002ca_0,255,714.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1352163442049346,41.43829508889142]}"
000000000000000002bf_0,116,703.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1007210372947327,41.470095449949255]}"
00000000000000000183_0,10,387.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2298089436227144,41.41996945709539]}"
0000000000000000039c_0,45,924.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.180491434524555,41.48761259798959]}"
00000000000000000252_0,262,594.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.091558221396724,41.44907487230086]}"
00000000000000000142_0,150,322.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0705376437483096,41.4711734282902]}"
0000000000000000027f_0,125,639.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.087515802618185,41.47844978209157]}"
0000000000000000016a_0,14,362.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.148421578881482,41.350170359519296]}"
000000000000000001b7_0,2,439.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.119316163676018,41.31567505260911]}"
000000000000000000a8_0,132,168.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0457441419066242,41.48222270628487]}"
000000000000000002cc_0,16,716.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1098838531927413,41.35097884327501]}"
0000000000000000029a_0,40,666.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1123093044598704,41.3682264967301]}"
00000000000000000099_0,21,153.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0381982935200256,41.348822886593126]}"
00000000000000000319_0,146,793.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.06999865457783,41.47063443911973]}"
0000000000000000001c_0,176,28.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0659562357993195,41.4568902152727]}"
000000000000000000c5_0,14,197.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.169711651115108,41.37685032345765]}"
00000000000000000151_0,245,337.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0861683296919864,41.42805429465247]}"
0000000000000000009f_0,18,159.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.194505152956822,41.42131693002157]}"
0000000000000000001e_0,48,30.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.122280604113598,41.37846729096907]}"
0000000000000000007a_0,187,122.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1594708568761405,41.45446476400558]}"
0000000000000000011e_0,134,286.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1133872828008293,41.47063443911973]}"
000000000000000000c4_0,184,196.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0635307845321904,41.49408046803525]}"
00000000000000000043_0,30,67.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2858638173517534,41.47305989038685]}"
000000000000000001b5_0,118,437.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2101358389004986,41.49569743554666]}"
0000000000000000014b_0,60,331.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0982955860276036,41.36634003463345]}"
00000000000000000080_0,9,128.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.120124647431709,41.31998696597289]}"
0000000000000000027e_0,51,638.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.167016705262739,41.48114472794393]}"
000000000000000002dd_0,23,733.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.198278077150121,41.422933897532985]}"
000000000000000003b6_0,146,950.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0481695931737534,41.48303119004058]}"
00000000000000000167_0,57,359.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1643217594103987,41.4921940059386]}"
000000000000000000ee_0,9,238.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2290004598669952,41.42347288670345]}"
00000000000000000120_0,124,288.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.152733492245261,41.437217110550485]}"
000000000000000003d3_0,186,979.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0805089434020374,41.39894887944699]}"
000000000000000001d9_0,74,473.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.06541724662884,41.38466566642949]}"
000000000000000002c1_0,4,705.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.053020495707983,41.32187342806954]}"
000000000000000001f1_0,68,497.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2936791603235918,41.4816837171144]}"
000000000000000000f3_0,209,243.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0918277159819354,41.39517595525369]}"
000000000000000001b8_0,79,440.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1524639976600213,41.36768750755964]}"
00000000000000000163_0,246,355.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.280473925647044,41.495158446376195]}"
00000000000000000086_0,193,134.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0856293405215354,41.38870808520803]}"
000000000000000000ad_0,47,173.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.172406596967477,41.48276169545534]}"
0000000000000000022b_0,17,555.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.096409123930954,41.35717721873543]}"
00000000000000000171_0,35,369.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1651302431660895,41.38601313935567]}"
00000000000000000197_0,11,407.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.135485838790146,41.356368734979725]}"
00000000000000000155_0,195,341.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.140606235909644,41.43101873509006]}"
0000000000000000005b_0,115,91.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.16324378106944,41.41296259787926]}"
00000000000000000062_0,68,98.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.226844503185106,41.44664942103374]}"
00000000000000000345_0,245,837.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.222802084406567,41.48114472794393]}"
000000000000000001c6_0,6,454.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.203128979684351,41.406494727833596]}"
00000000000000000009_0,115,9.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1802219399393152,41.449613861471335]}"
00000000000000000189_0,174,393.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.11419576655652,41.45823768819888]}"
000000000000000003a9_0,34,937.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.138989268398234,41.37792830179859]}"
0000000000000000035d_0,152,861.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0966786185161936,41.490846533012416]}"
00000000000000000290_0,23,656.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.055715441560352,41.36957396965629]}"
0000000000000000033f_0,125,831.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1284789795740267,41.402182814469825]}"
0000000000000000033c_0,72,828.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.183455874962135,41.48222270628487]}"
00000000000000000162_0,6,354.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0926361997376546,41.34154653279175]}"
000000000000000000ac_0,110,172.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.291792698226942,41.495158446376195]}"
00000000000000000336_0,14,822.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0896717593000744,41.34289400571794]}"
000000000000000001df_0,10,479.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2287309652817555,41.428593283822934]}"
0000000000000000024e_0,86,590.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0673037087254897,41.38062324765095]}"
